day,hour,count,prop
0,0,22118,12.19
0,1,13406,11.75
0,2,9566,11.26
0,3,8327,14.09
0,4,15409,18.41
0,5,24294,20.54
0,6,35402,17.75
0,7,53348,13.57
0,8,67144,12.33
0,9,61466,12.45
0,10,48557,13.51
0,11,46378,13.75
0,12,47319,13.29
0,13,47378,13.67
0,14,46646,13.8
0,15,50165,13.95
0,16,54644,13.01
0,17,64268,12.28
0,18,66846,11.01
0,19,61126,11.01
0,20,52766,11.35
0,21,50011,11.39
0,22,40873,11.03
0,23,27823,10.98
1,0,22851,11.59
1,1,13998,11.41
1,2,9474,10.7
1,3,7921,13.22
1,4,13553,16.7
1,5,24269,16.82
1,6,40475,15.05
1,7,67696,12.85
1,8,85667,11.98
1,9,76275,11.77
1,10,58174,12.35
1,11,57278,12.55
1,12,57756,12.53
1,13,58522,12.85
1,14,58565,13.11
1,15,64954,13.57
1,16,72863,12.82
1,17,85697,11.77
1,18,92126,10.76
1,19,87103,10.74
1,20,75724,11.0
1,21,69924,11.04
1,22,56913,10.56
1,23,41175,10.84
2,0,24915,10.86
2,1,14539,10.63
2,2,9826,10.69
2,3,8271,13.2
2,4,13449,16.28
2,5,24022,16.17
2,6,41761,14.55
2,7,72448,12.64
2,8,91845,12.17
2,9,80832,11.99
2,10,62010,12.54
2,11,60196,12.78
2,12,61458,12.89
2,13,61545,13.17
2,14,62042,13.63
2,15,69924,14.08
2,16,75726,13.23
2,17,90136,12.33
2,18,98676,11.21
2,19,94307,10.94
2,20,81415,11.28
2,21,77291,11.41
2,22,63745,11.09
2,23,45367,10.72
3,0,29051,11.32
3,1,17163,10.99
3,2,11453,10.97
3,3,9290,13.42
3,4,14229,16.5
3,5,24573,16.38
3,6,42776,14.5
3,7,71587,12.55
3,8,91125,11.59
3,9,80620,11.58
3,10,63022,12.48
3,11,61808,12.95
3,12,64484,13.3
3,13,66190,13.53
3,14,67176,13.91
3,15,74552,14.44
3,16,84092,13.45
3,17,99328,12.63
3,18,110969,11.49
3,19,107030,11.08
3,20,95532,11.51
3,21,92968,11.64
3,22,86366,11.02
3,23,64626,10.98
4,0,36541,12.12
4,1,20681,11.13
4,2,13270,10.86
4,3,10179,13.04
4,4,13916,15.89
4,5,21370,16.33
4,6,35301,14.47
4,7,56881,12.66
4,8,72706,11.77
4,9,65988,11.89
4,10,58615,12.75
4,11,56864,13.47
4,12,60857,13.72
4,13,61167,13.87
4,14,62254,13.92
4,15,67485,14.35
4,16,77659,13.61
4,17,90741,12.86
4,18,105003,11.63
4,19,109806,11.15
4,20,91137,10.86
4,21,89199,10.88
4,22,95096,11.0
4,23,88280,10.87
5,0,73084,10.46
5,1,55965,10.26
5,2,38382,10.36
5,3,23583,11.16
5,4,16535,13.03
5,5,15654,15.15
5,6,21260,14.61
5,7,30347,12.92
5,8,41210,11.96
5,9,50781,11.99
5,10,61044,11.57
5,11,64762,11.52
5,12,69623,11.47
5,13,72456,11.7
5,14,76488,11.54
5,15,80284,11.51
5,16,86350,11.26
5,17,101750,11.45
5,18,114091,11.62
5,19,114910,11.01
5,20,99731,10.27
5,21,97843,10.53
5,22,104675,10.72
5,23,102004,11.04
6,0,89396,11.03
6,1,70164,10.89
6,2,53377,11.13
6,3,34683,11.41
6,4,22995,12.79
6,5,20797,14.45
6,6,21508,14.81
6,7,24584,13.66
6,8,30335,12.8
6,9,39708,12.82
6,10,51795,12.8
6,11,59006,12.91
6,12,60103,13.03
6,13,57992,13.01
6,14,57613,12.71
6,15,62853,12.92
6,16,62654,12.95
6,17,65332,12.58
6,18,67550,12.06
6,19,63309,12.2
6,20,54949,11.85
6,21,52502,11.85
6,22,44658,11.34
6,23,32222,11.31
