day,hour,Trip ID,Fare
0,0,2397,20.17
0,1,1621,18.86
0,2,1152,15.47
0,3,997,16.89
0,4,1123,21.82
0,5,1880,26.98
0,6,3180,23.45
0,7,6089,15.91
0,8,9644,13.64
0,9,10648,14.86
0,10,10057,16.22
0,11,10199,15.86
0,12,10949,15.63
0,13,11102,15.76
0,14,10869,16.71
0,15,10989,16.38
0,16,11928,15.37
0,17,13567,14.22
0,18,13595,13.74
0,19,11216,14.65
0,20,8976,16.15
0,21,7339,17.51
0,22,5654,16.65
0,23,3473,17.27
1,0,2714,17.63
1,1,1775,16.65
1,2,1152,14.48
1,3,739,14.7
1,4,840,21.61
1,5,1635,23.48
1,6,3415,18.88
1,7,8249,13.65
1,8,13850,12.73
1,9,15142,13.16
1,10,13354,13.85
1,11,14368,13.7
1,12,15579,13.69
1,13,15512,13.93
1,14,15525,15.23
1,15,15819,15.85
1,16,17523,14.34
1,17,19735,14.57
1,18,18978,13.1
1,19,16210,14.16
1,20,12773,15.58
1,21,10279,16.2
1,22,7830,15.31
1,23,5137,15.01
2,0,3317,15.96
2,1,1862,15.37
2,2,1075,12.77
2,3,797,15.79
2,4,992,20.57
2,5,1640,24.69
2,6,3626,18.97
2,7,8866,14.43
2,8,14600,12.3
2,9,15710,13.61
2,10,14146,14.92
2,11,15402,14.38
2,12,16651,14.82
2,13,16506,15.2
2,14,16229,15.54
2,15,16968,16.04
2,16,18235,14.48
2,17,20261,13.86
2,18,19779,13.75
2,19,17462,14.59
2,20,14013,15.93
2,21,11438,17.06
2,22,8936,16.48
2,23,6053,16.12
3,0,3907,16.62
3,1,2602,15.71
3,2,1530,13.53
3,3,1015,15.64
3,4,1009,21.9
3,5,1662,25.5
3,6,3660,18.73
3,7,8723,13.99
3,8,13813,12.3
3,9,14945,13.47
3,10,13697,14.09
3,11,14909,14.15
3,12,16173,14.47
3,13,16512,14.79
3,14,16617,14.87
3,15,16912,15.84
3,16,18691,15.5
3,17,20644,13.66
3,18,20259,14.12
3,19,17963,15.02
3,20,14866,16.34
3,21,12441,17.19
3,22,10397,16.31
3,23,7274,15.41
4,0,4396,15.78
4,1,2995,14.77
4,2,1893,13.07
4,3,1284,13.08
4,4,1231,19.95
4,5,1563,25.64
4,6,2808,20.9
4,7,6272,14.82
4,8,9775,12.77
4,9,10873,13.69
4,10,10514,14.94
4,11,11938,15.95
4,12,13071,16.14
4,13,13482,16.06
4,14,13377,17.55
4,15,14497,15.85
4,16,15618,14.76
4,17,16317,13.88
4,18,15604,14.19
4,19,13777,14.87
4,20,10680,16.31
4,21,8729,17.24
4,22,8536,15.1
4,23,7703,13.93
5,0,6192,13.32
5,1,5594,11.27
5,2,4818,10.72
5,3,3674,10.64
5,4,2239,13.57
5,5,1267,19.88
5,6,1277,23.8
5,7,1963,20.09
5,8,2827,16.91
5,9,4253,17.28
5,10,5563,16.95
5,11,6320,16.28
5,12,7142,16.29
5,13,7546,15.67
5,14,7653,15.87
5,15,8107,15.24
5,16,8256,14.38
5,17,9783,13.7
5,18,10583,12.78
5,19,9725,14.07
5,20,7870,12.94
5,21,6712,12.89
5,22,6897,12.35
5,23,6944,11.97
6,0,6506,11.52
6,1,6134,10.8
6,2,5715,10.29
6,3,4493,11.19
6,4,3274,12.94
6,5,2429,17.9
6,6,2019,22.09
6,7,2224,22.83
6,8,2640,21.15
6,9,3700,19.12
6,10,5137,20.63
6,11,6103,18.89
6,12,6589,19.0
6,13,6651,19.14
6,14,7004,18.75
6,15,7576,19.26
6,16,7686,19.67
6,17,7713,19.21
6,18,7724,18.2
6,19,7187,19.04
6,20,6193,20.76
6,21,5647,21.37
6,22,4502,20.43
6,23,3166,19.07
